zone_a,zone_b,directed_knn_cross_count,undirected_support_score
NUISANCE_SENSITIVE_ZONE,RESPONSE_FAMILY_DOMINANT_ZONE,148,0.14785214785214784
RESPONSE_FAMILY_DOMINANT_ZONE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,135,0.13486513486513488
MIXED_THREE_WAY_COMPETITIVE_ZONE,RESPONSE_FAMILY_DOMINANT_ZONE,82,0.08191808191808192
NUISANCE_SENSITIVE_ZONE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,56,0.055944055944055944
PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_DOMINANT_ZONE,55,0.054945054945054944
HALO_COMPARATOR_DOMINANT_ZONE,RESPONSE_FAMILY_DOMINANT_ZONE,47,0.04695304695304695
MIXED_THREE_WAY_COMPETITIVE_ZONE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,45,0.04495504495504495
MIXED_THREE_WAY_COMPETITIVE_ZONE,NUISANCE_SENSITIVE_ZONE,43,0.04295704295704296
HALO_COMPARATOR_DOMINANT_ZONE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,20,0.01998001998001998
PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,19,0.01898101898101898
MIXED_THREE_WAY_COMPETITIVE_ZONE,PATHOLOGY_ARCHIVE_ZONE,16,0.015984015984015984
HALO_COMPARATOR_DOMINANT_ZONE,MIXED_THREE_WAY_COMPETITIVE_ZONE,11,0.01098901098901099
HALO_COMPARATOR_DOMINANT_ZONE,NUISANCE_SENSITIVE_ZONE,11,0.01098901098901099
NUISANCE_SENSITIVE_ZONE,PATHOLOGY_ARCHIVE_ZONE,9,0.008991008991008992
RESPONSE_FAMILY_DOMINANT_ZONE,UNRESOLVED_TRIANGULAR_ZONE,8,0.007992007992007992
NUISANCE_SENSITIVE_ZONE,UNRESOLVED_TRIANGULAR_ZONE,7,0.006993006993006993
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,UNRESOLVED_TRIANGULAR_ZONE,7,0.006993006993006993
MIXED_THREE_WAY_COMPETITIVE_ZONE,UNRESOLVED_TRIANGULAR_ZONE,5,0.004995004995004995
PATHOLOGY_ARCHIVE_ZONE,UNRESOLVED_TRIANGULAR_ZONE,1,0.000999000999000999
