zone,winning_comparator_family,count,zone_total,fraction_within_zone
HALO_COMPARATOR_DOMINANT_ZONE,BARYONIC_SYSTEMATICS_PROXY,1,6,0.16666666666666666
HALO_COMPARATOR_DOMINANT_ZONE,NUISANCE_PROXY,1,6,0.16666666666666666
HALO_COMPARATOR_DOMINANT_ZONE,OVERFLEX_NULL,3,6,0.5
HALO_COMPARATOR_DOMINANT_ZONE,SN_RRF_FAMILY,1,6,0.16666666666666666
MIXED_THREE_WAY_COMPETITIVE_ZONE,BARYONIC_SYSTEMATICS_PROXY,2,16,0.125
MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_NULL,14,16,0.875
NUISANCE_SENSITIVE_ZONE,HALO_OR_CORED_COMPARATOR,1,30,0.03333333333333333
NUISANCE_SENSITIVE_ZONE,NUISANCE_PROXY,1,30,0.03333333333333333
NUISANCE_SENSITIVE_ZONE,OVERFLEX_NULL,25,30,0.8333333333333334
NUISANCE_SENSITIVE_ZONE,SN_RRF_FAMILY,3,30,0.1
PATHOLOGY_ARCHIVE_ZONE,BARYONIC_SYSTEMATICS_PROXY,1,12,0.08333333333333333
PATHOLOGY_ARCHIVE_ZONE,NUISANCE_PROXY,2,12,0.16666666666666666
PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_NULL,9,12,0.75
RESPONSE_FAMILY_DOMINANT_ZONE,HALO_OR_CORED_COMPARATOR,2,54,0.037037037037037035
RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_NULL,48,54,0.8888888888888888
RESPONSE_FAMILY_DOMINANT_ZONE,SN_RRF_FAMILY,4,54,0.07407407407407407
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_NULL,22,23,0.9565217391304348
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,SN_RRF_FAMILY,1,23,0.043478260869565216
UNRESOLVED_TRIANGULAR_ZONE,OVERFLEX_NULL,2,2,1.0
