source_zone,injection_type,n,recovery_rate
HALO_COMPARATOR_DOMINANT_ZONE,HALO_LIKE,18,0.3333333333333333
HALO_COMPARATOR_DOMINANT_ZONE,MIXED_RESPONSE_HALO,18,0.4444444444444444
HALO_COMPARATOR_DOMINANT_ZONE,NUISANCE_GRADIENT,18,0.7777777777777778
HALO_COMPARATOR_DOMINANT_ZONE,PATHOLOGY_OUTLIER,18,1.0
HALO_COMPARATOR_DOMINANT_ZONE,RAR_LIKE,18,0.3333333333333333
HALO_COMPARATOR_DOMINANT_ZONE,RESPONSE_FAMILY_LIKE,18,0.5555555555555556
MIXED_THREE_WAY_COMPETITIVE_ZONE,HALO_LIKE,48,0.375
MIXED_THREE_WAY_COMPETITIVE_ZONE,MIXED_RESPONSE_HALO,48,0.375
MIXED_THREE_WAY_COMPETITIVE_ZONE,NUISANCE_GRADIENT,48,0.7291666666666666
MIXED_THREE_WAY_COMPETITIVE_ZONE,PATHOLOGY_OUTLIER,48,0.9166666666666666
MIXED_THREE_WAY_COMPETITIVE_ZONE,RAR_LIKE,48,0.3958333333333333
MIXED_THREE_WAY_COMPETITIVE_ZONE,RESPONSE_FAMILY_LIKE,48,0.5208333333333334
NUISANCE_SENSITIVE_ZONE,HALO_LIKE,90,0.32222222222222224
NUISANCE_SENSITIVE_ZONE,MIXED_RESPONSE_HALO,90,0.5111111111111111
NUISANCE_SENSITIVE_ZONE,NUISANCE_GRADIENT,90,0.7
NUISANCE_SENSITIVE_ZONE,PATHOLOGY_OUTLIER,90,0.9555555555555556
NUISANCE_SENSITIVE_ZONE,RAR_LIKE,90,0.43333333333333335
NUISANCE_SENSITIVE_ZONE,RESPONSE_FAMILY_LIKE,90,0.6555555555555556
PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,36,0.16666666666666666
PATHOLOGY_ARCHIVE_ZONE,MIXED_RESPONSE_HALO,36,0.2222222222222222
PATHOLOGY_ARCHIVE_ZONE,NUISANCE_GRADIENT,36,0.8611111111111112
PATHOLOGY_ARCHIVE_ZONE,PATHOLOGY_OUTLIER,36,0.9722222222222222
PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,36,0.3333333333333333
PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,36,0.25
RESPONSE_FAMILY_DOMINANT_ZONE,HALO_LIKE,162,0.38271604938271603
RESPONSE_FAMILY_DOMINANT_ZONE,MIXED_RESPONSE_HALO,162,0.4382716049382716
RESPONSE_FAMILY_DOMINANT_ZONE,NUISANCE_GRADIENT,162,0.7098765432098766
RESPONSE_FAMILY_DOMINANT_ZONE,PATHOLOGY_OUTLIER,162,0.9629629629629629
RESPONSE_FAMILY_DOMINANT_ZONE,RAR_LIKE,162,0.37037037037037035
RESPONSE_FAMILY_DOMINANT_ZONE,RESPONSE_FAMILY_LIKE,162,0.5925925925925926
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,HALO_LIKE,69,0.2898550724637681
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,MIXED_RESPONSE_HALO,69,0.5942028985507246
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,NUISANCE_GRADIENT,69,0.6086956521739131
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,PATHOLOGY_OUTLIER,69,0.9420289855072463
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,RAR_LIKE,69,0.37681159420289856
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,RESPONSE_FAMILY_LIKE,69,0.5652173913043478
UNRESOLVED_TRIANGULAR_ZONE,HALO_LIKE,6,0.3333333333333333
UNRESOLVED_TRIANGULAR_ZONE,MIXED_RESPONSE_HALO,6,0.3333333333333333
UNRESOLVED_TRIANGULAR_ZONE,NUISANCE_GRADIENT,6,0.8333333333333334
UNRESOLVED_TRIANGULAR_ZONE,PATHOLOGY_OUTLIER,6,1.0
UNRESOLVED_TRIANGULAR_ZONE,RAR_LIKE,6,0.5
UNRESOLVED_TRIANGULAR_ZONE,RESPONSE_FAMILY_LIKE,6,0.5
