variant,n,coverage,accuracy,balanced_accuracy,min_class_recall
phase8_reported_predicted_type,2574,1.0,0.5664335664335665,0.5664335664335663,0.3333333333333333
rss_minimum_type,2574,1.0,0.5664335664335665,0.5664335664335663,0.3333333333333333
corr_maximum_type,2574,1.0,0.5664335664335665,0.5664335664335663,0.3333333333333333
hybrid_corr_pathology_nuisance_then_rss,2574,1.0,0.5664335664335665,0.5664335664335663,0.3333333333333333
reported_only_noise_LOW,858,0.3333333333333333,0.7762237762237763,0.7762237762237763,0.5524475524475524
reported_only_noise_MEDIUM,858,0.3333333333333333,0.5198135198135199,0.5198135198135198,0.27972027972027974
reported_only_noise_HIGH,858,0.3333333333333333,0.40326340326340326,0.40326340326340326,0.16783216783216784
selective_rss_margin_q0.00,2574,1.0,0.5664335664335665,0.5664335664335663,0.3333333333333333
selective_rss_margin_q0.25,1930,0.7498057498057498,0.6264248704663212,0.5745638865606127,0.2440944881889764
selective_rss_margin_q0.50,1287,0.5,0.7350427350427351,0.5573331489557329,0.0
selective_rss_margin_q0.75,644,0.2501942501942502,0.8649068322981367,0.40585466313621654,0.0
oracle_diagnostic_correct_margin_q0.25,1930,0.7498057498057498,0.755440414507772,0.7381387425800249,0.5
oracle_diagnostic_correct_margin_q0.50,1287,0.5,1.0,1.0,1.0
oracle_diagnostic_correct_margin_q0.75,644,0.2501942501942502,1.0,1.0,1.0
