,count,mean,std,min,5%,10%,50%,90%,95%,max
bootstrap_index,2000.0,999.5,577.4945887192364,0.0,99.95,199.9,999.5,1799.1000000000001,1899.05,1999.0
center_log10_s_c,2000.0,-0.5424839587542274,0.05099910980683203,-0.6968924867379621,-0.6297464136456495,-0.6158089438839434,-0.5370541194479002,-0.47793799273884097,-0.4758334255992578,-0.4144719048385506
center_log10_lambda,2000.0,-0.11372287124627244,0.01105991546157079,-0.151498083989873,-0.13151439497264053,-0.127330367155905,-0.11525640540278227,-0.10031171655800158,-0.09915663876362948,-0.08452259238594409
scale_log10_s_c,2000.0,0.2966517540632936,0.040405080011148474,0.19572776596404545,0.23215430037977391,0.2446674246065635,0.2946890764998631,0.35020114213890774,0.36830509011768287,0.46334196117317317
scale_log10_lambda,2000.0,0.07146662399827024,0.010148368953312807,0.03810873326338051,0.05575451260676344,0.05888872707158722,0.07158488633070949,0.08458181031263337,0.09082730866634128,0.10603704732884411
q90_threshold,2000.0,2.3975623133097232,0.3221998453897368,1.6378539156808407,1.9288477563239605,2.0191869182003304,2.3713536298320195,2.815877678975839,2.9938865344161782,4.205754576288907
robust_inside_fraction,2000.0,0.8869675324675325,0.03909310583885531,0.7012987012987013,0.8181818181818182,0.8311688311688312,0.8961038961038961,0.935064935064935,0.948051948051948,0.987012987012987
nonpath_inside_fraction,2000.0,0.8509742647058824,0.036878149248626355,0.6911764705882353,0.7867647058823529,0.8014705882352942,0.8529411764705882,0.8970588235294118,0.9044117647058824,0.9705882352941176
pathology_inside_fraction,2000.0,0.1428571428571428,5.552503422540543e-17,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
pathology_exclusion_fraction,2000.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
